status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
511585615610016_1084372451664660,"""อย่าได้คิดประท้วง EU โดยจุดไฟเผาธง EU 

ผู้ประท้วงจะกลายเป็นตัวโจ๊กไป เพราะธง EU ไม่ไหม้ มันทำจากวัสดุทนไฟตามกฎระเบียบ EU เพื่อความปลอดภัยของชีวิตและทรัพย์สิน

สะท้อนความเป็น EU ได้ดียิ่ง""

#มิตรสหายท่านหนึ่ง",Man tries to burn EU flag. Flag doesn't burn because of EU regulations on flammable materials,link,https://www.indy100.com/article/eu-flag-uk-burning-regulations-flame-retardant-article-50-brexit-7657391,2017-04-04 00:17:51,2673,29,142,2053,7,41,569,3,0
511585615610016_1083934558375116,"""คนไทยแม่งอาบน้ำบ่อยมากจนแทบไม่มีกลิ่นตัว แล้วเท่าที่เคยอ่านบันทึกมิชชั่นนารี เราแม่งอาบน้ำบ่อยมากมาตั้งนานแล้ว

นี่น่าจะเป็นเหตุผลว่าเราแม่งรับกลิ่นตัวคนอื่นแทบจะไม่ได้

ถึงเราจะมีกลิ่นตัวจากอาหาร ลองหาข้อมูลดูก็เห็นว่าจะเป็นกลิ่นผักชีกับใบโหระพรา ไม่ก็กลิ่นกระเพราะจากเหงื่อที่เราๆไม่สังเกตุ

แต่แม่งก็คนละเรื่องกับกลิ่นตัวที่มีแบคทีเรีย วัฒนธรรมการอาบน้ำบ่อยๆ น่าจะทำให้เราแม่งรับไม่ได้ หากได้กลิ่นตัวคนอื่น"" #มิตรสหายท่านหนึ่ง

http://tastythailand.com/are-thais-the-cleanest-people-in-the-world-if-not-theyre-close/","Are Thais the Cleanest People in the World? If Not, They're Close – Tasty Thailand",link,http://tastythailand.com/are-thais-the-cleanest-people-in-the-world-if-not-theyre-close/,2017-04-03 10:27:25,822,45,71,754,3,9,56,0,0
511585615610016_1083865975048641,"""จากนั้นขึ้นไปยังชานชาลา (ชั้น 3) เพื่อทำพิธีเปิด อีกทั้งชมวิธีการควบคุมการเดินรถภายในห้องควบคุม โดย นายกรัฐมนตรี ได้ประกาศ ออกลำโพงภายในขบวนรถ ว่าขณะนี้ขบวนรถจะออกจากสถานีสำโรงเพื่อไปสถานีแบริ่ง ก่อนจะลงมือขับรถไฟฟ้าบีทีเอส ภายใต้ระบบอาณัติสัญญาณ ในช่วงแรกของการออกจากสถานีสำโรง(E15) ไปยังสถานีแบริ่ง (E14) จำนวน 1 สถานี ซึ่งขบวนรถได้กระชากออกตัว ทำให้มีการเบรกรถไฟฟ้า ทำให้คณะฯ และสื่อมวลชน เสียหลักเกือบล้มทั้งขบวน ก่อนจะให้พนักงานเข้ามาทำการขับรถไฟฟ้าแทน""

ข่าวสด รายงาน
https://www.khaosod.co.th/breaking-news/news_281907",เปิดบริการแล้ว!! นายกฯโชว์ขับรถไฟฟ้าสายสีเขียวแบริ่ง–สำโรง เบรกเอี๊ยดหัวทิ่มทั้งขบวน,link,https://www.khaosod.co.th/breaking-news/news_281907,2017-04-03 08:51:31,1299,88,67,916,2,16,352,5,8
511585615610016_1083841405051098,"""กละ กล้องนั่น""",Nelson S. Howe,photo,https://www.facebook.com/myadventuresinbangkok/photos/a.675882452435245.1073741828.630850690271755/1435032486520234/?type=3,2017-04-03 08:14:56,3438,29,0,3033,11,15,285,92,2
511585615610016_1083759355059303,"""แล้วคนที่อนุมัติมันจะได้รับผลประโยชน์หรือ มันจะหน้าด้านขนาดนั้นเชียวหรือ ผมอยากจะรู้นัก อย่ามองรัฐบาล และผมแบบนั้น เพราะถ้ามองแบบนั้นมันก็จบทุกเรื่อง ทำอะไรไม่ได้ทั้งหมด ผมพยายามจะทำให้ดีที่สุด แต่ถ้าจะโกงกันก็ต้องไปสอบดูว่าโกงกันอย่างไร แล้วไปลงโทษกัน ต่อไปนี้ถ้ามันต้องมีก็ต้องมี โดยวางช่วงเวลาไว้ 3 ระยะ คือระหว่างปี 2560-2566, 2564-2569, และ2565-2570 เป็นการใช้จ่ายเงินในวงเงิน 3.6 หมื่นล้านบาท และเป็นราคามิตรภาพ ปกติเรือดำน้ำ ราคาลำละ 1.8 หมื่นล้านบาท แต่เท่าที่พูดคุยวงเงิน 3.6 หมื่นล้านบาทซื้อได้ถึง 3 ลำ เหมือนกับซื้อ 2 ลำ แถม 1 ลำ รวมถึงระบบอาวุธด้วยพร้อม ถามผมว่าผมอยากซื้อของประเทศอื่นไหม ผมก็อยากซื้ออาจจะดูดี ชื่อเสียงดี คุณภาพดีกว่า 3 เท่า แล้วจะซื้อได้หรือไม่ ทั้ง ๆ ที่ก็ดำน้ำได้เหมือนกัน คนก็ปลอดภัย มันก็มีวิธีการที่จะต้องคิดใหม่ ในการจัดซื้อจัดหาจำเป็นก็ต้องทำ ถ้าไม่จำเป็นจะไปทำให้เมื่อยและถูกตำหนิทำไม ไม่ซื้อก็ไม่ต้องซื้อ ไม่ทำก็อย่าทำ เดี๋ยวก็หมดเวลา เลิกกลับบ้านนอน ไม่ดีกว่าหรือจะมานั่งทะเลาะกับสื่อทำไม ขอร้องให้ดูถึงความตั้งใจของรัฐบาล ทุกคนอยากจะทำให้ดีที่สุด สถานการณ์แบบนี้ไม่มีใครเข้ามาเพื่อกอบโกย เว้นแต่พวกที่ชอบแอบอ้างก็ต้องไปหามา""

พล.อ.ประยุทธ์ จันทร์โอชา, 28 มี.ค.60
นายกรัฐมนตรีและหัวหน้าคณะรักษาความสงบแห่งชาติ (คสช.) กล่าวถึงการจัดซื้อเรือดำน้ำ
ที่มา http://www.matichon.co.th/news/511226",Timeline Photos,photo,https://www.facebook.com/quoteV2/photos/a.512068612228383.1073741830.511585615610016/1083759355059303/?type=3,2017-04-03 05:58:44,2305,249,176,1442,5,31,675,21,132
511585615610016_1083515551750350,"""#ข้อมูลจากประชาไท

2547 มีความต้องการทหารกองประจำการ 80,345 นาย

2548 มีความต้องการทหารกองประจำการ 85,44 นาย

2549 มีความต้องการทหารกองประจำการ 81,090 นาย

2550 มีความต้องการทหารกองประจำการ 81,701 นาย

2551 มีความต้องการทหารกองประจำการ 85,760 นาย

2552 มีความต้องการทหารกองประจำการ 87,041 นาย

2553 มีความต้องการทหารกองประจำการ 87,452 นาย

2554 มีความต้องการทหารกองประจำการ 97,280 นาย

2555 มีความต้องการทหารกองประจำการ103,555 นาย

2556 มีความต้องการทหารกองประจำการ 94,480 นาย

2557 มีความต้องการทหารกองประจำการ 100,865 นาย

2558 มีความต้องการทหารกองประจำการ 99,373 นาย

2559 มีความต้องการทหารกองประจำการ 101,307 นาย

2560 มีความต้องการทหารกองประจำการ 103,097 นาย"" 

#มิตรสหายท่านหนึ่ง",,status,,2017-04-02 21:37:53,2107,92,207,1794,1,90,177,23,22
511585615610016_1083034895131749,"""...ฝากสื่อช่วยแจ้งลูกค้า เจ้ามือถูกจับ ทุกอย่างถือเป็นโมฆะ""",ตำรวจ ทหาร บุกจับเจ้ามือหวยเถื่อน ขณะนั่งรับโพยรับแทงโปรแกรมไลน์คาบ้าน,link,https://www.khaosod.co.th/around-thailand/news_280716,2017-04-02 08:09:01,1842,42,54,1433,5,20,380,3,1
511585615610016_1082869628481609,"""ส่งตัวรับใช้นาย ตัดหญ้าที่ขวางทางเดินนาย
กำจัดปลวกสู่ความตาย
ชื่อเสียงกองร้อยเลื่องลือ
ตัดหญ้าผ่านไป ขุดสวน รดน้ำ ค่อยๆผ่านไป
หลงผิดคิดภาคภูมิใจ ก่อนเดินเข้าเวรคืนนี้

นี่คือครั้งนึงที่ภูมิใจ
ว่าฉันยังมี ประยุทธ์....
ก๊อบมาจากเม้นท์หนึ่งในเพจไข่แมว""

#มิตรสหายท่านหนึ่ง",,status,,2017-04-02 03:28:32,3799,50,202,3110,7,27,644,11,0
511585615610016_1082851351816770,"""นี่สิ พระรอดของจริง"" #มิตรสหายท่านหนึ่ง 

ที่มา https://youtu.be/9mu0PN-93NE",Timeline Photos,photo,https://www.facebook.com/quoteV2/photos/a.512068612228383.1073741830.511585615610016/1082851351816770/?type=3,2017-04-02 02:57:25,3084,15,49,2654,2,17,411,0,0
511585615610016_1082818528486719,"""ขนลุกเลยค่ะ""",ดงผู้ดี V.2,photo,https://www.facebook.com/thainobilityV2/photos/a.1489382461324846.1073741827.1489381561324936/1829594023970353/?type=3,2017-04-02 01:47:09,3831,191,0,2401,12,42,1360,14,2
